Country,Area(s),Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Autism Types Included
Denmark,Nationwide,5 to 10,2004,"404,816","2,002",6.85,,,,,"childhood autism, atypical autism, Asperger syndrome, other PDD, PDD-NOS"
Australia,Western Australia,5 to 10,2004,"152,060",678,5.1,,,,,"autistic disorder, Asperger syndrome, PDD-NOS (including atypical autism)"
Taiwan,Nationwide,0 to 17,2005,"229,454",659,2.9,,,,,"ASD (infantile autism, disintegrative psychosis, other specified early childhood psychoses, unspecified psychoses with origin specific to childhood)"
USA,San Francisco Bay Area,0 to 8,1994 & 1996,"80,249",374,4.7,,,,,ASD (not specified)
South Korea,Ilsan district of Goyang City,7 to 12,2005-2009,"55,266",201,26.4,,,,,"ASD (PDD, autistic disorder, Asperger syndrome, PDD-NOS, Rett syndrome, childhood disintegrative disorder)"
Brazil,Atibaia,7 to 12,,"1,470",4,2.72,,,,,"PDD (autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)"
England,Nationwide,Ú 16,2007,"7,333",72,9.8,,,,,ASD (not specified)
Finland,Northern Ostrobothnia,8,,"4,422",37,8.4,,,,,ASD (not specified)
USA,Utah,8,2002-2008,"33,757",432,13,,,,,ASD (not specified)
USA,Arkansas,8,2002,"36,472",252,6.9,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)"
Denmark,Faroe Islands,15 to 24,2009,"7,128",67,9.4,,,,,"childhood autism/autistic disorder, atypical autism/PDD-NOS, Asperger's disorder"
USA,Alabama; Arizona; Arkansas; Colorado; Florida; Maryland; Missouri; New Jersey; North Carolina; Pennsylvania; South Carolina; Utah; West Virginia; Wisconsin,8,2008,"337,093","3,820",11.3,,,53,,"ASD (autistic disorder, PDD-NOS/aytpical autism, Asperger syndrome)"
Norway,Nationwide,0 to 11,2010,"731,318","2,352",3.22,,,,,ASD (not specified)
Iran,Nationwide,5,2006-2009,"1,320,000",826,0.63,,,,,ASD (autistic disorder)
Norway,Oppland; Hedmark,6 to 12,,"31,015",158,5.1,,,,,"ASD (childhood autism, atypical autism, Asperger syndrome)"
Sweden,Stockholm County,0 to 17,2007,"444,154","5,100",11.5,12-228,,96,,ASD (not specified)
Taiwan,Nationwide,6 to 11,2010,"1,538,830","3,893",2.53,,,,,ASD (not specified)
Sweden,Gothenburg,2,2010,"6,220",40,6.4,,,,,"ASD (autism, atypical autism)"
USA,Arizona,8,2006,"41,647",504,15,,,,,ASD (not specified)
USA,Nationwide,7 to 17,2007,"56,728",,18.9,,,,,"ASD (autism, Asperger syndrome, PDD, other autism spectrum disorder)"
Bahrain,,2 to 27,2005,,,0.43,,,,38,ASD (not specified)
Israel,,1 to 12,2010,"423,524","2,034",4.8,,63.5,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
Taiwan,Nationwide,3 to 17,2011,"3,917,643","8,671",2.21,,,,,ASD (not specified)
Iceland,,11 to 15,2005-2009,"22,229",267,12,,,,,"ASD (childhood autism, Asperger syndrome)"
Norway,Nationwide,0 to 12,2008-2011,"797,356","3,101",6,,,,,PDD
United Kingdom,Nationwide,8,2004-2010,"256,278",616,2.4,,,,,ASD (not specified)
USA,Nationwide,6 to 17,2011-2012,"65,556","1,393",20,,,,,ASD (not specified)
USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,8,2010,"363,749","5,338",14.7,,,,,"ASD (autistic disorder, PDD-NOS/atypical autism, PDD-NOS, Asperger syndrome)"
China,Tianjin,1.5 to 3,2009-2011,"8,000",22,2.75,,,,72.7,ASD (not specified)
South Korea,South Korea,7 to 12,2005-2006,,,22,,,,,ASD (not specified)
Canada,Newfoundland; Labrador; Prince Edward Island; Southeastern Ontario,2 to 14,2003-2010,"156,569","1,636",10.45,13-143 (newfoundland & Labrador); 19-164 (Prince Edward Island); 18-172 (Southeastern Ontario),,41 (Newfoundland & Labrador); 55 (Prince Edward Island); 56 (SE Ontario),,"autism (autistic disorder, Asperger syndrome)"
Uganda,Kampala District; Wakiso District,2 to 9,2010-2011,"1,169",8,12,,,,,ASD (not specified)
United Kindgom,England; Scotland; Wales; Northern Ireland,7,2008-2009,"14,043",209,17,,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome)"
USA,New Jersey,8,2006,"30,570",533,17.4,9-102,,48,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)"
United Kindgon,Cambridgeshire,5 to 9,2003-2004,"3,404",46,14,,,,,"Autistic Spectrum Conditions (classic autism, Asperger syndrome, and PDD-NOS)"
USA,Nationwide,3 to 17,2014,"13,000",,22.4,,,,,ASD (autism)
Denmark,Nationwide,0 to 21,2011,"1,191,012","13,567",11.4,,,,,"ASD, childhood autism"
Finland,Nationwide,0 to 21,2011,"1,079,796","8,088",7.5,,,,,"ASD, childhood autism"
Sweden,Nationwide,0 to 19,2011,"1,797,704","11,887",6.6,,,,,"ASD, childhood autism"
Australia,Western Australia,0 to 20,2011,"465,724","2,321",5,,,,,"ASD, childhood autism"
France,Haute-Garonne,8,2003-2012,,500,3.6,,,,,ASD (not specified)
Sweden,Stockholm County,0 to 27,2011,"735,096","11,330",15.4,,,,,ASD (not specified)
Sweden,Nationwide,,,"1,078,975","4,620",4.2,,,,,ASD (not specified)
Canada,Newfoundland; Labrador,4,2013,"2,668",58,21.6,,,,,"ASD (autism spectrum disorder, autistic disorder, Asperger syndrome, PDD-NOS)"
China,"Xicheng Districy, Beijing",6 to 11,,737,6,11.9,,,,,autism spectrum conditions (ASC)
France,Haute-Garonne; Isere; Savoy; Upper-Savoy counties,7,1997-2003,"307,751","1,123",3.65,,,,,"childhood autism, Asperger syndrome, and other ASDs (excluding Rett syndrome)"
USA,"Atlanta, GA",8,2010,,752,15.5,,,,,ASD (not specified)
Ecuador,Quito,5 to 15,,"51,453",57,1.1,,,,,"ASD (classical autism, Aperger syndrome, PDD-NOS, childhood disintergrative disorder, Rett syndrome)"
USA,"New York City, NY",,,"113,364",493,4.3,,,,,ASD (not specified)
Iran,Mahabad,2 to 5,,"2,941",28,9.52,,,,,ASD (not specified)
Nigeria,Lagos State,0 to 3,,"3,011",4,1.33,,,,,autism spectrum disorder trait
Ireland,Galway City; Waterford City; Cork,6 to 11,,"5,589",63,10,,,,,"autism, Asperger syndrome, Rett syndrone, childhood disintegrative disorder, PDD-NOS"
Australia,Western Australia,0 to 27,2010,,"2,307",4.1,,,,,ASD (not specified)
Lebanon,Beirut; Mount-Lebanon,1.3 to 4,,998,263,15.3,,,,,ASD (not specified)
USA,Arizona; Missouri; New Jersey; Utah; Wisconsin,4,2010,"58,467",783,13.4,,,32,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
Nigeria,Enugu; Ebonyi,3 to 18,2014,721,21,29,,,,,ASD (not specified)
Mexico,Leon,8,2011-2012,"12,200",36,8.7,,,,36,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
Australia,Nationwide,6 to 7,2010-2011,"4,239",107,25,,,,,"autism, Asperger syndrome, other autism spectrum"
India,Kerala,1 to 30,2011-2012,"18,480",43,2.33,,,,,ASD (not specified)
USA,Arkansas; Arizona; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; South Carolina; Utah; Wisconsin,8,2012,"346,038","5,063",14.6,,,50,,"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)"
USA,Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin,8,2006-2010,"929,182","11,058",11.9,,,,,ASD (not specified)
Australia,Nationwide,10 to 11,2014,"3,764",145,39,,67.4,,,"ASD (autism, Asperger syndrome, other autism spectrum)"
India,Himachal Pradesh,1 to 10,,"28,070",43,1.5,,,,,ASD (not specified)
India,Kolkata,3 to 8,2010-2013,"11,849",6,2.3,,,,,"ASD (autism, broader autism spectrum)"
Poland,West Pomeranian; Pomeranian regions,0 to 16,2010-2014,"707,975","2,464",3.5,,,,,"ASD (autism, atypical autism, Rett syndrome, children disintegrative disorder, hyperkinetic disorder accompied mental retardation and stereotyped movements, Asperger syndrome, PDD, PDD-NOS)"
USA,Arizona; New Jersey; Utah; Missouri; Wisconsin,4,2010,"58,467",465,8,,,32,,ASD (not specified)
USA,Nationwide,2 to 17,2011-2012,"85,248","1,604",18,,,,,ASD (not specified)
Sweden,Stockholm,0 to 17,2011,"480,728","10,025",21,,,,,ASD (not specified)
USA,Nationwide,3 to 17,2014-2016,,,24.7,,,,,ASD (not specified)
USA,Nationwide,3 to 17,2016,"43,021","1,131",25,,,,,ASD (autism)
India,Kangra; Hyderabad; Dhenkal; North Goa,6 to 9,2011-2012,"3,964",44,14,,,,,"ASD (autism, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)"
USA,Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin,8,2014,"325,483","5,473",16.8,,,52,,"ASD (autistic disorder, PDD-NOS/atypical autism, Asperger syndrome)"
USA,Nationwide,3 to 17,2014-2016,"30,502",711,24.7,,,,,ASD (not specified)
Nepal,Makwanpur district,9 to 13,2014-2015,"4,098",14,3,,,,,autism
Scotland,Nationwide,0 to 25,2011,"3,746,584","6,649",1.77,,,,,"ASD, Asperger syndrome"
Germany,Nationwide,0 to 24,2012,"6,400,000","21,186",3.8,,,,,ASD (not specified)
